T,M
247,2.116238740740741
248,2.1298512592592593
249,2.143574
250,2.1574074074074074
251,2.1713519259259257
252,2.185408
253,2.1995760740740744
254,2.2138565925925926
255,2.22825
256,2.2427567407407407
257,2.2573772592592594
258,2.272112
259,2.286961407407407
260,2.301925925925926
261,2.317006
262,2.3322020740740736
263,2.347514592592593
264,2.3629439999999997
265,2.3784907407407405
266,2.3941552592592594
267,2.4099380000000004
268,2.4258394074074072
269,2.4418599259259257
270,2.458
271,2.474260074074074
272,2.4906405925925923
273,2.507142
274,2.5237647407407406
275,2.540509259259259
276,2.557376
277,2.5743654074074076
278,2.5914779259259255
279,2.608714
280,2.626074074074074
281,2.6435585925925924
282,2.661168
283,2.6789027407407406
284,2.696763259259259
285,2.7147499999999996
286,2.7328634074074074
287,2.751103925925926
288,2.7694719999999995
289,2.787968074074074
290,2.8065925925925925
291,2.8253459999999997
292,2.844228740740741
293,2.8632412592592593
294,2.882384
295,2.901657407407407
296,2.921061925925926
297,2.940598
298,2.960266074074074
299,2.9800665925925927
300,3.0
301,3.020066740740741
302,3.040267259259259
303,3.0606020000000003
304,3.081071407407408
305,3.1016759259259254
306,3.1224160000000003
307,3.1432920740740746
308,3.1643045925925923
309,3.185454
310,3.2067407407407416
311,3.228165259259259
312,3.249728
313,3.271429407407407
314,3.2932699259259257
315,3.3152500000000003
316,3.3373700740740735
317,3.3596305925925924
318,3.382032
319,3.40457474074074
320,3.4272592592592592
321,3.450086
322,3.473055407407407
323,3.496167925925926
324,3.5194240000000003
325,3.5428240740740735
326,3.5663685925925925
327,3.5900580000000004
328,3.61389274074074
329,3.6378732592592593
330,3.662000000000001
331,3.686273407407407
332,3.710693925925926
333,3.7352620000000005
334,3.759978074074074
335,3.784842592592593
336,3.809856000000001
337,3.8350187407407406
338,3.8603312592592594
339,3.8857939999999993
340,3.911407407407407
341,3.9371719259259264
342,3.963087999999999
343,3.989156074074074
344,4.0153765925925935
345,4.0417499999999995
346,4.068276740740741
347,4.09495725925926
348,4.121791999999999
349,4.148781407407407
350,4.1759259259259265
351,4.203225999999999
352,4.230682074074075
353,4.258294592592593
354,4.286064
355,4.31399074074074
356,4.342075259259261
357,4.370317999999999
358,4.398719407407407
359,4.427279925925927
360,4.4559999999999995
361,4.484880074074074
362,4.513920592592593
363,4.543122
364,4.572484740740741
365,4.602009259259258
366,4.631696
367,4.661545407407408
368,4.691557925925926
369,4.721734
370,4.752074074074075
371,4.782578592592592
372,4.813248
373,4.844082740740742
374,4.875083259259259
375,4.90625
376,4.937583407407408
377,4.969083925925926
378,5.000752
379,5.0325880740740745
380,5.064592592592592
381,5.096766000000001
382,5.129108740740742
383,5.161621259259259
384,5.194304000000001
385,5.227157407407408
386,5.2601819259259255
387,5.293378000000001
388,5.326746074074073
389,5.360286592592592
390,5.394
391,5.42788674074074
392,5.461947259259259
393,5.496182
394,5.530591407407407
395,5.565175925925926
396,5.5999360000000005
397,5.634872074074074
398,5.669984592592592
399,5.705274000000001
400,5.74074074074074
